ds,NIFTY50,BANK,IT,VIX
2017-02-22,8926.900390625,20868.44921875,10514.7998046875,13.699999809265137
2017-02-23,8939.5,20876.650390625,10689.650390625,13.399999618530273
2017-02-27,8896.7001953125,20613.05078125,10706.7001953125,13.680000305175781
2017-02-28,8879.599609375,20607.25,10680.9501953125,13.789999961853027
2017-03-01,8945.7998046875,20783.75,10748.0498046875,13.579999923706055
2017-03-02,8899.75,20560.05078125,10741.599609375,13.359999656677246
2017-03-03,8897.5498046875,20495.599609375,10806.25,13.350000381469727
2017-03-06,8963.4501953125,20663.650390625,10779.0498046875,13.640000343322754
2017-03-07,8946.900390625,20627.5,10799.099609375,13.880000114440918
2017-03-08,8924.2998046875,20676.55078125,10739.4501953125,14.079999923706055
2017-03-09,8927.0,20721.349609375,10724.75,14.390000343322754
2017-03-10,8934.5498046875,20727.55078125,10749.849609375,13.960000038146973
2017-03-14,9087.0,21102.69921875,10879.25,12.399999618530273
2017-03-15,9084.7998046875,21157.900390625,10696.5498046875,12.420000076293945
2017-03-16,9153.7001953125,21249.900390625,10822.099609375,11.90999984741211
2017-03-17,9160.0498046875,21175.05078125,10900.75,11.850000381469727
2017-03-20,9126.849609375,21110.25,10776.75,12.020000457763672
2017-03-21,9121.5,21019.0,10787.2001953125,11.9399995803833
2017-03-22,9030.4501953125,20781.349609375,10783.2998046875,12.270000457763672
2017-03-23,9086.2998046875,20895.5,10850.7998046875,11.84000015258789
2017-03-24,9108.0,21122.55078125,10768.9501953125,11.979999542236328
2017-03-27,9045.2001953125,21056.900390625,10648.5,12.4399995803833
2017-03-28,9100.7998046875,21225.400390625,10681.0498046875,12.119999885559082
2017-03-29,9143.7998046875,21391.150390625,10741.25,12.09000015258789
2017-03-30,9173.75,21620.69921875,10730.75,12.149999618530273
2017-03-31,9173.75,21444.150390625,10703.25,12.420000076293945
2017-04-03,9237.849609375,21547.75,10592.0,11.489999771118164
2017-04-05,9265.150390625,21652.69921875,10510.2998046875,11.550000190734863
2017-04-06,9261.9501953125,21622.94921875,10538.150390625,11.289999961853027
2017-04-07,9198.2998046875,21431.150390625,10485.75,11.6899995803833
2017-04-10,9181.4501953125,21520.150390625,10338.150390625,11.619999885559082
2017-04-11,9237.0,21736.150390625,10398.849609375,11.399999618530273
2017-04-12,9203.4501953125,21666.80078125,10323.4501953125,11.630000114440918
2017-04-13,9150.7998046875,21686.599609375,10064.2001953125,11.579999923706055
2017-04-17,9139.2998046875,21647.599609375,10000.900390625,11.890000343322754
2017-04-18,9105.150390625,21671.849609375,9981.5498046875,12.380000114440918
2017-04-19,9103.5,21556.349609375,9944.7998046875,12.220000267028809
2017-04-20,9136.400390625,21491.400390625,10039.0498046875,11.5600004196167
2017-04-21,9119.400390625,21551.44921875,10008.150390625,11.420000076293945
2017-04-24,9217.9501953125,21857.400390625,10058.349609375,11.630000114440918
2017-04-25,9306.599609375,22054.69921875,10091.25,11.15999984741211
2017-04-26,9351.849609375,22242.849609375,9966.75,11.739999771118164
2017-04-27,9342.150390625,22326.30078125,10012.349609375,11.069999694824219
2017-04-28,9304.0498046875,22358.25,9943.7001953125,10.859999656677246
2017-05-02,9313.7998046875,22341.349609375,10006.349609375,11.449999809265137
2017-05-03,9311.9501953125,22307.30078125,10131.0498046875,11.529999732971191
2017-05-04,9359.900390625,22720.099609375,10106.5,11.329999923706055
2017-05-05,9285.2998046875,22604.94921875,10086.349609375,11.989999771118164
2017-05-08,9314.0498046875,22767.349609375,10209.150390625,11.670000076293945
2017-05-09,9316.849609375,22707.30078125,10279.599609375,11.109999656677246
2017-05-10,9407.2998046875,22830.349609375,10219.5498046875,10.949999809265137
2017-05-11,9422.400390625,22818.44921875,10256.099609375,10.84000015258789
2017-05-12,9400.900390625,22671.69921875,10367.2998046875,10.630000114440918
2017-05-15,9445.400390625,22821.5,10339.75,10.680000305175781
2017-05-16,9512.25,22928.599609375,10461.2998046875,10.5600004196167
2017-05-17,9525.75,22935.94921875,10437.2998046875,10.640000343322754
2017-05-18,9429.4501953125,22698.599609375,10545.599609375,11.789999961853027
2017-05-19,9427.900390625,22769.80078125,10456.349609375,11.300000190734863
2017-05-22,9438.25,22652.849609375,10504.849609375,11.199999809265137
2017-05-23,9386.150390625,22582.80078125,10510.2001953125,12.199999809265137
2017-05-24,9360.5498046875,22536.30078125,10509.2001953125,11.829999923706055
2017-05-25,9509.75,23190.80078125,10738.349609375,10.449999809265137
2017-05-26,9595.099609375,23362.19921875,10735.400390625,10.859999656677246
2017-05-29,9604.900390625,23182.75,10568.349609375,11.789999961853027
2017-05-30,9624.5498046875,23307.25,10609.0,11.770000457763672
2017-05-31,9621.25,23424.80078125,10549.099609375,11.760000228881836
2017-06-01,9616.099609375,23310.150390625,10574.7001953125,11.3100004196167
2017-06-02,9653.5,23375.900390625,10608.9501953125,10.8100004196167
2017-06-05,9675.099609375,23459.650390625,10660.099609375,11.020000457763672
2017-06-06,9637.150390625,23416.30078125,10907.25,11.130000114440918
2017-06-07,9663.900390625,23567.650390625,10701.25,10.890000343322754
2017-06-08,9647.25,23536.099609375,10550.0,11.069999694824219
2017-06-09,9668.25,23690.900390625,10442.650390625,10.859999656677246
2017-06-12,9616.400390625,23470.44921875,10470.75,11.420000076293945
2017-06-13,9606.900390625,23477.849609375,10339.0,11.34000015258789
2017-06-14,9618.150390625,23498.69921875,10366.099609375,11.180000305175781
2017-06-15,9578.0498046875,23391.75,10278.0498046875,11.329999923706055
2017-06-16,9588.0498046875,23502.75,10189.5,10.920000076293945
2017-06-19,9657.5498046875,23742.150390625,10197.900390625,10.630000114440918
2017-06-20,9653.5,23697.94921875,10289.9501953125,10.65999984741211
2017-06-21,9633.599609375,23708.75,10223.400390625,10.920000076293945
2017-06-22,9630.0,23736.099609375,10199.5498046875,11.210000038146973
2017-06-23,9574.9501953125,23542.75,10170.599609375,11.5600004196167
2017-06-27,9511.400390625,23216.25,10068.849609375,12.510000228881836
2017-06-28,9491.25,23235.849609375,10133.5498046875,11.989999771118164
2017-06-29,9504.099609375,23227.30078125,10124.400390625,11.380000114440918
2017-06-30,9520.900390625,23211.19921875,10155.0498046875,11.729999542236328
2017-07-03,9615.0,23272.80078125,10189.849609375,11.199999809265137
2017-07-04,9613.2998046875,23214.19921875,10213.400390625,11.279999732971191
2017-07-05,9637.599609375,23352.599609375,10160.650390625,11.149999618530273
2017-07-06,9674.5498046875,23466.650390625,10148.900390625,10.979999542236328
2017-07-07,9665.7998046875,23449.150390625,10087.7998046875,10.869999885559082
2017-07-10,9771.0498046875,23675.05078125,10360.099609375,10.90999984741211
2017-07-11,9786.0498046875,23584.599609375,10430.0,10.890000343322754
2017-07-12,9816.099609375,23695.44921875,10401.5,11.050000190734863
2017-07-13,9891.7001953125,23888.650390625,10440.5498046875,11.25
2017-07-14,9886.349609375,23937.69921875,10330.650390625,11.170000076293945
2017-07-17,9915.9501953125,24015.05078125,10445.849609375,11.460000038146973
2017-07-18,9827.150390625,24022.05078125,10493.2001953125,11.489999771118164
2017-07-19,9899.599609375,24152.650390625,10583.7998046875,11.260000228881836
2017-07-20,9873.2998046875,24213.349609375,10491.150390625,11.319999694824219
2017-07-21,9915.25,24257.05078125,10711.5498046875,11.09000015258789
2017-07-24,9966.400390625,24420.849609375,10823.5498046875,11.3100004196167
2017-07-25,9964.5498046875,24520.69921875,10810.349609375,10.90999984741211
2017-07-26,10020.650390625,24670.69921875,10782.9501953125,11.170000076293945
2017-07-27,10020.5498046875,24922.400390625,10612.2998046875,11.220000267028809
2017-07-28,10014.5,24811.30078125,10699.4501953125,11.140000343322754
2017-07-31,10077.099609375,25103.650390625,10755.75,11.899999618530273
2017-08-01,10114.650390625,25122.80078125,10801.849609375,11.90999984741211
2017-08-02,10081.5,25055.19921875,10727.349609375,11.9399995803833
2017-08-03,10013.650390625,24675.05078125,10682.5,11.640000343322754
2017-08-04,10066.400390625,24827.44921875,10757.9501953125,11.390000343322754
2017-08-07,10057.400390625,24906.349609375,10678.7998046875,11.899999618530273
2017-08-08,9978.5498046875,24599.5,10623.7001953125,12.770000457763672
2017-08-09,9908.0498046875,24374.599609375,10613.5498046875,13.449999809265137
2017-08-10,9820.25,24217.349609375,10662.349609375,13.800000190734863
2017-08-11,9710.7998046875,23985.75,10647.0498046875,15.199999809265137
2017-08-14,9794.150390625,24115.75,10587.2998046875,14.380000114440918
2017-08-16,9897.2998046875,24437.69921875,10659.7001953125,14.239999771118164
2017-08-17,9904.150390625,24237.25,10797.7998046875,14.34000015258789
2017-08-18,9837.400390625,24074.44921875,10570.0,14.569999694824219
2017-08-21,9754.349609375,23936.5,10440.0498046875,14.819999694824219
2017-08-22,9765.5498046875,23974.44921875,10446.25,14.109999656677246
2017-08-23,9852.5,24316.80078125,10478.25,13.180000305175781
2017-08-24,9857.0498046875,24274.19921875,10503.900390625,12.569999694824219
2017-08-28,9912.7998046875,24377.099609375,10592.2998046875,12.640000343322754
2017-08-29,9796.0498046875,24128.94921875,10506.0,13.539999961853027
2017-08-30,9884.400390625,24308.69921875,10493.25,12.890000343322754
2017-08-31,9917.900390625,24318.400390625,10558.25,11.949999809265137
2017-09-01,9974.400390625,24434.0,10514.400390625,11.680000305175781
2017-09-04,9912.849609375,24236.849609375,10441.75,13.170000076293945
2017-09-05,9952.2001953125,24328.30078125,10498.0,12.890000343322754
2017-09-06,9916.2001953125,24279.150390625,10421.650390625,13.119999885559082
2017-09-07,9929.900390625,24304.900390625,10460.9501953125,13.010000228881836
2017-09-08,9934.7998046875,24370.80078125,10456.650390625,12.960000038146973
2017-09-11,10006.0498046875,24672.25,10459.5,12.359999656677246
2017-09-12,10093.0498046875,24784.69921875,10501.099609375,11.760000228881836
2017-09-13,10079.2998046875,24831.80078125,10505.2998046875,11.760000228881836
2017-09-14,10086.599609375,24912.25,10496.0498046875,11.470000267028809
2017-09-15,10085.400390625,24844.30078125,10599.75,11.680000305175781
2017-09-18,10153.099609375,25046.900390625,10649.5,11.4399995803833
2017-09-19,10147.5498046875,25041.55078125,10654.849609375,11.470000267028809
2017-09-20,10141.150390625,24965.05078125,10651.349609375,11.630000114440918
2017-09-21,10121.900390625,24799.25,10653.849609375,11.630000114440918
2017-09-22,9964.400390625,24368.849609375,10632.099609375,12.8100004196167
2017-09-25,9872.599609375,24165.05078125,10569.150390625,13.34000015258789
2017-09-26,9871.5,24199.150390625,10548.5,12.930000305175781
2017-09-27,9735.75,23812.94921875,10544.2001953125,13.859999656677246
2017-09-28,9768.9501953125,24008.150390625,10521.900390625,13.170000076293945
2017-09-29,9788.599609375,24053.0,10475.349609375,12.489999771118164
2017-10-03,9859.5,24103.400390625,10546.099609375,12.460000038146973
2017-10-04,9914.900390625,24113.30078125,10539.849609375,11.800000190734863
2017-10-05,9888.7001953125,24058.05078125,10524.650390625,11.710000038146973
2017-10-06,9979.7001953125,24190.0,10655.349609375,11.119999885559082
2017-10-09,9988.75,24251.900390625,10680.2001953125,11.390000343322754
2017-10-10,10016.9501953125,24347.44921875,10726.2001953125,11.109999656677246
2017-10-11,9984.7998046875,24107.44921875,10785.25,11.729999542236328
2017-10-12,10096.400390625,24361.25,10881.2998046875,11.039999961853027
2017-10-13,10167.4501953125,24689.150390625,10924.2001953125,11.260000228881836
2017-10-16,10230.849609375,24703.05078125,10961.599609375,11.3100004196167
2017-10-17,10234.4501953125,24645.599609375,10942.7001953125,11.609999656677246
2017-10-18,10210.849609375,24313.75,10910.150390625,11.539999961853027
2017-10-19,10146.5498046875,24009.75,10890.7998046875,12.399999618530273
2017-10-23,10184.849609375,24088.900390625,10997.849609375,12.329999923706055
2017-10-24,10207.7001953125,24222.150390625,10884.7998046875,11.59000015258789
2017-10-25,10295.349609375,25035.900390625,10925.4501953125,11.760000228881836
2017-10-26,10343.7998046875,25022.19921875,10883.0498046875,11.619999885559082
